imageUrl,hue,saturation,lightness,vibrant,muted,darkVibrant,darkMuted,lightVibrant
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05272.jpg,41.28,50.20,48.82,#bb943e,#947f68,#563d27,#82643e,#e9cc8d
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05269.jpg,20.57,38.04,36.08,#7f5139,#97734f,#643b2c,#3c2a21,#f4eae3
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05266.jpg,41.05,48.31,53.73,#c29e50,#947c4f,#775036,#4e453e,#efd398
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05263.jpg,39.15,47.20,50.98,#bd9447,#966f61,#74360c,#574740,#dbc69d
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05261.jpg,226,43,49.22,#da7a21,#ab7b5d,#5c3219,#252f42,#f9c669
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05258.jpg,21.97,79.91,44.90,#ce5a17,#98796c,#814c30,#473b30,#f6d1b4
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05255.jpg,27.57,62.18,53.33,#d2823e,#b58772,#6b3e19,#6d533d,#d9b89b
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05250.jpg,0.00,6.35,50.00,#877777,#a6947e,#463e3e,#4b3e2b,#c0b8b8
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05247.jpg,28.00,62.50,37.65,#9c5c24,#927a49,#715833,#5b4f40,#eed79f
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05244.jpg,29.32,37.29,46.27,#a2754a,#b39279,#5f3923,#3d2f28,#f7ece9
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05241.jpg,24.23,41.27,50.00,#b4754a,#ac8268,#593a25,#483a32,#f4e9e6
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05238.jpg,30.97,56.36,50.00,#c78137,#958a7e,#2b1c0c,#574534,#e2bd97
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05235.jpg,34.47,40.17,45.88,#a47c46,#ab9074,#5f3d28,#4e3b2f,#dcccac
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05233.jpg,27.46,80.82,50.00,#e67618,#8e7356,#422207,#48352b,#fcf4ec
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05230.jpg,33.64,45.53,46.08,#ab7c40,#917f71,#5b351a,#37271a,#f9efed
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05228.jpg,7.65,91.89,43.53,#d52309,#9e6555,#8e1a04,#4c503c,#f4ac64
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05225.jpg,18.33,58.06,48.63,#c46034,#a67b4c,#89492a,#433225,#d7b05b
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05222.jpg,16.10,67.21,47.84,#cc5428,#8c5f50,#781c06,#573d31,#edc561
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05219.jpg,15.56,42.86,49.41,#b46448,#9e8453,#5e3425,#564234,#ebd6a3
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05217.jpg,30.00,50.00,48.63,#ba7c3e,#917c6a,#944414,#453423,#fcece4
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05214.jpg,41.95,57.58,54.71,#cea649,#94544c,#644a30,#423122,#e9c475
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05211.jpg,35.00,37.04,31.76,#6f5633,#847c7c,#4f3920,#3e362a,#d5c0a4
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05208.jpg,41.42,44.66,50.39,#b99648,#9f835e,#72370a,#3b2a20,#dac79f
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05205.jpg,18.52,59.84,48.82,#c76032,#b19559,#814a27,#382d1f,#f5e1b4
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05202.jpg,44.00,65.22,50.00,#d2a62c,#ab986e,#6d5617,#3c342c,#efdfb3
